ts,elapsed_s,index,util_pct,mem_used_mb,mem_total_mb,temp_c,power_w
2026-09-01 02:46:23,89551,0,100,7368,24576,52,245.97
2026-09-01 02:46:28,89556,0,100,7368,24576,52,246.08
2026-09-01 02:46:34,89562,0,100,7368,24576,52,247.93
2026-09-01 02:46:39,89567,0,100,7368,24576,52,248.62
2026-09-01 02:46:44,89572,0,100,7368,24576,52,248.26
2026-09-01 02:46:49,89577,0,100,7368,24576,52,246.99
2026-09-01 02:46:54,89582,0,100,7368,24576,52,245.65
2026-09-01 02:46:59,89587,0,100,7368,24576,52,246.27
2026-09-01 02:47:04,89592,0,100,7368,24576,52,248.73
2026-09-01 02:47:09,89597,0,100,7368,24576,52,248.74
2026-09-01 02:47:14,89602,0,100,7368,24576,52,247.85
2026-09-01 02:47:19,89607,0,100,7368,24576,52,247.34
2026-09-01 02:47:24,89612,0,100,7368,24576,52,246.16
2026-09-01 02:47:29,89617,0,100,7368,24576,52,246.54
2026-09-01 02:47:34,89622,0,100,7368,24576,52,248.01
2026-09-01 02:47:39,89627,0,100,7368,24576,52,248.85
2026-09-01 02:47:45,89633,0,100,7368,24576,52,247.82
2026-09-01 02:47:50,89638,0,99,7368,24576,52,246.96
2026-09-01 02:47:55,89643,0,100,7368,24576,52,246.31
2026-09-01 02:48:00,89648,0,100,7368,24576,52,247.29
2026-09-01 02:48:05,89653,0,100,7368,24576,52,249.14
2026-09-01 02:48:10,89658,0,100,7368,24576,52,249.00
2026-09-01 02:48:15,89663,0,100,7368,24576,52,247.71
2026-09-01 02:48:20,89668,0,99,7368,24576,52,246.47
2026-09-01 02:48:25,89673,0,100,7368,24576,52,246.26
2026-09-01 02:48:30,89678,0,100,7368,24576,52,246.72
2026-09-01 02:48:35,89683,0,100,7368,24576,52,248.65
2026-09-01 02:48:40,89688,0,100,7368,24576,52,248.99
2026-09-01 02:48:45,89693,0,100,7368,24576,52,247.40
2026-09-01 02:48:50,89698,0,100,7368,24576,52,246.63
2026-09-01 02:48:56,89704,0,100,7368,24576,52,245.72
2026-09-01 02:49:01,89709,0,100,7368,24576,52,247.21
2026-09-01 02:49:06,89714,0,100,7368,24576,52,248.88
2026-09-01 02:49:11,89719,0,100,7368,24576,52,248.61
2026-09-01 02:49:16,89724,0,100,7368,24576,52,247.95
2026-09-01 02:49:21,89729,0,99,7368,24576,52,246.60
2026-09-01 02:49:26,89734,0,100,7368,24576,52,246.52
2026-09-01 02:49:31,89739,0,100,7368,24576,52,247.85
2026-09-01 02:49:36,89744,0,100,7368,24576,52,248.62
2026-09-01 02:49:41,89749,0,100,7368,24576,52,248.68
2026-09-01 02:49:46,89754,0,100,7368,24576,52,247.68
2026-09-01 02:49:51,89759,0,99,7368,24576,52,246.55
2026-09-01 02:49:56,89764,0,100,7368,24576,52,246.12
2026-09-01 02:50:01,89769,0,100,7368,24576,52,247.47
2026-09-01 02:50:06,89774,0,100,7368,24576,52,248.79
2026-09-01 02:50:12,89780,0,100,7368,24576,52,248.45
2026-09-01 02:50:17,89785,0,100,7368,24576,52,247.57
2026-09-01 02:50:22,89790,0,99,7368,24576,52,246.18
2026-09-01 02:50:27,89795,0,100,7368,24576,52,246.32
2026-09-01 02:50:32,89800,0,100,7368,24576,52,247.72
2026-09-01 02:50:37,89805,0,100,7368,24576,52,248.91
2026-09-01 02:50:42,89810,0,100,7368,24576,52,249.08
2026-09-01 02:50:47,89815,0,100,7368,24576,52,248.19
2026-09-01 02:50:52,89820,0,100,7368,24576,52,246.93
2026-09-01 02:50:57,89825,0,100,7368,24576,52,246.37
2026-09-01 02:51:02,89830,0,100,7368,24576,52,247.44
2026-09-01 02:51:07,89835,0,100,7368,24576,52,248.73
2026-09-01 02:51:13,89841,0,100,7368,24576,52,248.79
2026-09-01 02:51:18,89846,0,100,7368,24576,52,248.01
2026-09-01 02:51:23,89851,0,100,7368,24576,52,246.25
2026-09-01 02:51:28,89856,0,100,7368,24576,52,246.42
2026-09-01 02:51:33,89861,0,100,7368,24576,52,247.44
2026-09-01 02:51:38,89866,0,100,7368,24576,52,248.96
2026-09-01 02:51:43,89871,0,100,7368,24576,52,248.73
2026-09-01 02:51:48,89876,0,100,7368,24576,52,247.63
2026-09-01 02:51:53,89881,0,99,7368,24576,52,246.55
2026-09-01 02:51:58,89886,0,100,7368,24576,52,246.54
2026-09-01 02:52:03,89891,0,100,7368,24576,52,247.88
2026-09-01 02:52:08,89896,0,100,7368,24576,52,248.78
2026-09-01 02:52:13,89901,0,100,7368,24576,52,248.76
2026-09-01 02:52:18,89906,0,100,7368,24576,52,247.36
2026-09-01 02:52:24,89911,0,100,7368,24576,52,246.28
2026-09-01 02:52:29,89917,0,100,7368,24576,52,246.27
2026-09-01 02:52:34,89922,0,100,7368,24576,52,248.34
2026-09-01 02:52:39,89927,0,100,7368,24576,52,249.09
2026-09-01 02:52:44,89932,0,100,7368,24576,52,248.54
2026-09-01 02:52:49,89937,0,100,7368,24576,52,246.93
2026-09-01 02:52:54,89942,0,100,7368,24576,52,245.77
2026-09-01 02:52:59,89947,0,100,7368,24576,52,246.70
2026-09-01 02:53:04,89952,0,100,7368,24576,52,249.17
2026-09-01 02:53:09,89957,0,100,7368,24576,52,249.27
2026-09-01 02:53:14,89962,0,100,7368,24576,52,248.92
2026-09-01 02:53:19,89967,0,100,7368,24576,52,247.80
2026-09-01 02:53:24,89972,0,99,7368,24576,52,245.88
2026-09-01 02:53:29,89977,0,100,7368,24576,52,246.83
2026-09-01 02:53:34,89982,0,100,7368,24576,52,248.28
2026-09-01 02:53:40,89988,0,100,7368,24576,52,248.99
2026-09-01 02:53:45,89993,0,100,7368,24576,52,248.09
2026-09-01 02:53:50,89998,0,99,7368,24576,52,246.76
2026-09-01 02:53:55,90003,0,100,7368,24576,52,245.82
2026-09-01 02:54:00,90008,0,100,7368,24576,52,246.67
2026-09-01 02:54:05,90013,0,100,7368,24576,52,248.11
2026-09-01 02:54:10,90018,0,100,7368,24576,52,249.05
2026-09-01 02:54:15,90023,0,100,7368,24576,52,248.40
2026-09-01 02:54:20,90028,0,100,7368,24576,52,247.36
2026-09-01 02:54:25,90033,0,100,7368,24576,52,246.26
2026-09-01 02:54:30,90038,0,100,7368,24576,52,246.74
2026-09-01 02:54:35,90043,0,100,7368,24576,52,248.38
2026-09-01 02:54:40,90048,0,100,7368,24576,52,248.88
